CODGEO;CODGEO;LIBGEO;DENS;LIBDENS;PMUN21;P1;P2;P3;P4;P5;P6;P7;Département;Région;NB_F303;NB_F303_NB_SALLES;NB_F305;NB_F307;NB_F311;NB_F312;NB_F313;NB_F314;NB_F315;NB_F315_NB_SALLES;NB_D201;NB_D202;NB_D203;NB_D206;NB_D207;NB_D208;NB_D210;NB_D212;NB_D214;NB_D231;NB_D232;NB_D233;NB_D235;NB_D237;NB_D238;NB_D240;NB_D243
01004;1004;Ambérieu-en-Bugey;2;Centres urbains intermédiaires;14854;0,0;70,9;0,0;24,9;0,0;3,5;0,8;Ain;Auvergne-RhÃ´ne-Alpes;1;3;0;1;0;0;0;1;0;0;24;9;0;4;1;5;1;23;7;5;30;24;6;6;3;1;11
01033;1033;Valserhône;2;Centres urbains intermédiaires;16295;0,0;55,3;0,0;17,7;14,1;12,0;0,9;Ain;Auvergne-RhÃ´ne-Alpes;1;2;1;4;0;0;0;0;1;1;12;1;0;0;8;1;0;6;0;3;17;14;2;5;0;3;5
01143;1143;Divonne-les-Bains;4;Ceintures urbaines;10137;0,0;0,0;0,0;87,1;0,0;11,9;1,0;Ain;Auvergne-RhÃ´ne-Alpes;1;0;0;1;0;0;0;0;0;0;9;2;0;0;1;2;0;0;0;2;3;9;2;5;1;0;4
01160;1160;Ferney-Voltaire;2;Centres urbains intermédiaires;10920;0,0;71,3;0,0;28,7;0,0;0,0;0,0;Ain;Auvergne-RhÃ´ne-Alpes;1;3;1;0;1;1;1;0;0;0;9;0;0;0;0;1;0;0;1;2;6;10;2;4;0;1;17
01173;1173;Gex;2;Centres urbains intermédiaires;13078;0,0;60,7;0,0;32,3;0,0;6,5;0,5;Ain;Auvergne-RhÃ´ne-Alpes;1;0;0;1;0;0;0;0;0;0;8;0;0;0;0;0;1;0;0;0;5;6;0;5;0;3;4
01249;1249;Miribel;4;Ceintures urbaines;10225;0,0;25,4;0,0;61,9;8,0;4,4;0,3;Ain;Auvergne-RhÃ´ne-Alpes;0;0;0;1;0;0;0;0;1;2;10;0;0;0;0;0;1;0;0;3;14;9;8;4;1;7;6
01354;1354;Saint-Genis-Pouilly;2;Centres urbains intermédiaires;14558;0,0;69,2;0,0;27,0;0,0;3,4;0,3;Ain;Auvergne-RhÃ´ne-Alpes;1;0;0;1;0;0;0;0;0;0;8;1;0;1;0;1;1;6;0;7;6;6;2;3;1;3;16
02168;2168;Château-Thierry;2;Centres urbains intermédiaires;15204;0,0;83,3;0,0;14,5;0,0;2,0;0,3;Aisne;Hauts-de-France;1;4;0;1;0;1;0;0;1;0;20;3;0;10;1;3;1;12;2;3;24;12;4;7;3;1;3
02173;2173;Chauny;2;Centres urbains intermédiaires;11496;0,0;81,2;0,0;16,2;0,0;2,0;0,5;Aisne;Hauts-de-France;1;3;0;1;0;1;0;1;1;1;9;0;1;0;1;2;1;4;1;0;19;9;4;1;2;0;0
02738;2738;Tergnier;2;Centres urbains intermédiaires;13431;0,0;52,2;0,0;40,8;0,0;6,8;0,2;Aisne;Hauts-de-France;1;2;0;1;0;1;0;0;0;0;6;0;0;0;0;1;0;4;0;1;18;9;3;2;0;0;1
