CODGEO;CODGEO;LIBGEO;DENS;LIBDENS;PMUN21;P1;P2;P3;P4;P5;P6;P7;Département;Région;NB_G101;NB_G102;NB_G103;NB_G104;NB_F303;NB_F303_NB_SALLES;NB_F305;NB_F307;NB_F311;NB_F312;NB_F313;NB_F314;NB_F315;NB_F315_NB_SALLES
01004;1004;Ambérieu-en-Bugey;2;Centres urbains intermédiaires;14854;0;70,85;0;24,85;0;3,54;0,75;Ain;Auvergne-Rhône-Alpes;2;1;0;0;1;3;0;1;0;0;0;1;0;0
01033;1033;Valserhône;2;Centres urbains intermédiaires;16295;0;55,3;0;17,74;14,12;11,99;0,85;Ain;Auvergne-Rhône-Alpes;4;6;0;1;1;2;1;4;0;0;0;0;1;1
01143;1143;Divonne-les-Bains;4;Ceintures urbaines;10137;0;0;0;87,07;0;11,94;0,98;Ain;Auvergne-Rhône-Alpes;1;8;1;3;1;0;0;1;0;0;0;0;0;0
01160;1160;Ferney-Voltaire;2;Centres urbains intermédiaires;10920;0;71,31;0;28,69;0;0;0;Ain;Auvergne-Rhône-Alpes;3;6;0;1;1;3;1;0;1;1;1;0;0;0
01173;1173;Gex;2;Centres urbains intermédiaires;13078;0;60,68;0;32,3;0;6,54;0,48;Ain;Auvergne-Rhône-Alpes;1;3;1;2;1;0;0;1;0;0;0;0;0;0
01249;1249;Miribel;4;Ceintures urbaines;10225;0;25,39;0;61,91;7,96;4,41;0,33;Ain;Auvergne-Rhône-Alpes;0;0;0;3;0;0;0;1;0;0;0;0;1;2
01354;1354;Saint-Genis-Pouilly;2;Centres urbains intermédiaires;14558;0;69,22;0;27,04;0;3,41;0,33;Ain;Auvergne-Rhône-Alpes;0;5;0;0;1;0;0;1;0;0;0;0;0;0
02168;2168;Château-Thierry;2;Centres urbains intermédiaires;15204;0;83,25;0;14,53;0;1,97;0,26;Aisne;Hauts-de-France;4;3;0;1;1;4;0;1;0;1;0;0;1;0
02173;2173;Chauny;2;Centres urbains intermédiaires;11496;0;81,24;0;16,24;0;2,01;0,51;Aisne;Hauts-de-France;1;2;0;0;1;3;0;1;0;1;0;1;1;1
02738;2738;Tergnier;2;Centres urbains intermédiaires;13431;0;52,18;0;40,79;0;6,8;0,23;Aisne;Hauts-de-France;0;1;2;0;1;2;0;1;0;1;0;0;0;0
02810;2810;Villers-Cotterêts;2;Centres urbains intermédiaires;10454;0;62,99;0;35,84;0;0,5;0,67;Aisne;Hauts-de-France;1;2;0;1;1;2;0;1;0;1;0;0;0;0
03095;3095;Cusset;2;Centres urbains intermédiaires;12909;0;58,48;0;30,67;0;9,15;1,7;Allier;Auvergne-Rhône-Alpes;1;0;0;0;0;0;1;1;0;0;0;1;2;2
03190;3190;Moulins;2;Centres urbains intermédiaires;19343;0;71,41;0;28,33;0;0,01;0,25;Allier;Auvergne-Rhône-Alpes;4;6;0;3;1;9;1;2;0;2;0;1;1;1
03321;3321;Yzeure;2;Centres urbains intermédiaires;12598;0;75,81;0;18,9;0;3,07;2,21;Allier;Auvergne-Rhône-Alpes;1;1;0;3;0;0;0;3;0;0;0;1;1;2
04070;4070;Digne-les-Bains;3;Petites villes;17192;0;35,66;0;51,57;0;10,14;2,63;Alpes-de-Haute-Provence;Provence-Alpes-Côte d'Azur;3;8;2;1;2;4;1;2;1;2;0;3;0;0
05023;5023;Briançon;2;Centres urbains intermédiaires;10561;0;58,89;0;36,5;0;4,39;0,22;Hautes-Alpes;Provence-Alpes-Côte d'Azur;5;13;1;5;2;1;1;1;0;0;0;1;1;2
06012;6012;Beausoleil;2;Centres urbains intermédiaires;12674;0;98,98;0;0,55;0;0,18;0,29;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;6;5;0;5;0;0;0;0;0;0;0;1;0;0
06033;6033;Carros;2;Centres urbains intermédiaires;13277;0;60,78;0;29,17;0;10,02;0,02;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;0;2;0;0;1;1;0;1;0;0;0;1;0;0
06084;6084;Mouans-Sartoux;2;Centres urbains intermédiaires;10531;0;65,69;0;30,16;0;3,91;0,25;Alpes-Maritimes;Provence-Alpes-Côte d'Azur;3;6;0;2;2;6;0;1;0;1;0;0;0;0
